date,ticker,open_p,entry,stop,target,exit_price,gross_pct,net_pnl,outcome,portfolio
2021-09-13,NICE.TA,96940.0,97133.88,96745.3445,98299.4866,96745.3445,-0.4,-163.39,stop,98860.17
2021-09-14,AMOT.TA,2462.101420178628,2467.0256,2457.1575,2496.6299,2457.1575,-0.4,-163.12,stop,98697.05
2021-09-14,CAMT.TA,13319.428154340021,13346.067,13292.6827,13506.2198,13506.2198,1.2,310.9,target,99007.94
2021-09-14,HARL.TA,3470.464440387228,3477.4054,3463.4957,3519.1342,3463.4957,-0.4,-163.36,stop,98844.58
2021-09-14,MGDL.TA,471.5341917961792,472.4773,470.5874,478.147,470.5874,-0.4,-163.09,stop,98681.49
2021-09-22,PHOE.TA,3642.564427537058,3649.8496,3635.2502,3693.6478,3693.6478,1.2,310.85,target,98992.33
2021-09-22,MGDL.TA,480.43291976841937,481.3938,479.4682,487.1705,480.6329,-0.158,-91.49,eod,98900.85
2021-09-22,HARL.TA,3515.4060204191874,3522.4368,3508.3471,3564.7061,3508.3471,-0.4,-163.19,stop,98737.66
2021-09-22,TSEM.TA,9699.0,9718.398,9679.5244,9835.0188,9679.5244,-0.4,-162.92,stop,98574.74
2021-09-23,AZRG.TA,30665.9997102649,30727.3317,30604.4224,31096.0597,30604.4224,-0.4,-162.65,stop,98412.09
2021-09-23,PHOE.TA,3694.459103125,3701.848,3687.0406,3746.2702,3746.2702,1.2,310.0,target,98722.09
2021-09-23,LUMI.TA,2782.0428950785736,2787.607,2776.4566,2821.0583,2776.4566,-0.4,-162.89,stop,98559.2
2021-09-23,NVMI.TA,33600.0,33667.2,33532.5312,34071.2064,34071.2064,1.2,310.46,target,98869.66
2021-09-29,DLEKG.TA,21437.443963388825,21480.3189,21394.3976,21738.0827,21738.0827,1.2,311.44,target,99181.1
2021-09-29,TSEM.TA,10090.0,10110.18,10069.7393,10231.5022,10069.7393,-0.4,-163.65,stop,99017.45
2021-09-29,ICL.TA,2339.4166800798866,2344.0955,2334.7191,2372.2247,2372.2247,1.2,311.9,target,99329.36
2021-09-30,FIBI.TA,11726.080002115059,11749.5322,11702.534,11890.5265,11702.534,-0.4,-163.89,stop,99165.46
2021-09-30,TEVA.TA,3225.0,3231.45,3218.5242,3270.2274,3218.5242,-0.4,-163.62,stop,99001.84
2021-09-30,ALHE.TA,4996.693846474925,5006.6872,4986.6605,5066.7675,4986.6605,-0.4,-163.35,stop,98838.49
2021-09-30,POLI.TA,2830.8993819387333,2836.5612,2825.2149,2870.5999,2825.2149,-0.4,-163.08,stop,98675.4
2021-10-04,DLEKG.TA,24648.076387499998,24697.3725,24598.5831,24993.741,24993.741,1.2,310.83,target,98986.23
2021-10-04,ICL.TA,2419.2266913159087,2424.0651,2414.3689,2453.1539,2414.3689,-0.4,-163.33,stop,98822.91
2021-10-04,AZRG.TA,29836.380732728598,29896.0535,29776.4693,30254.8061,29776.4693,-0.4,-163.06,stop,98659.85
2021-10-04,BEZQ.TA,387.0263836868735,387.8004,386.2492,392.454,392.454,1.2,310.78,target,98970.63
