ticker,direction,entry_time,entry_price,exit_time,exit_price,qty,position_val,stop_price,target_price,or_height,gross_pnl,commission,net_pnl,outcome
NVMI.TA,long,2026-03-31 10:25:00+03:00,132730.0,2026-03-31 14:00:00+03:00,132490.0,0.18,24359.09,131170.0,135190.0,1640.0,-44.05,22.41,-73.76,eod
DSCT.TA,long,2026-03-31 12:00:00+03:00,3146.0,2026-03-31 14:00:00+03:00,3142.0,7.74,24359.09,3114.5,3225.5,53.0,-30.97,22.41,-60.69,eod
ICL.TA,long,2026-03-31 13:35:00+03:00,1652.0,2026-03-31 14:00:00+03:00,1656.0,14.71,24306.03,1638.0,1688.0,24.0,58.85,22.36,29.2,eod
ICL.TA,long,2026-04-03 11:35:00+03:00,1667.0,2026-04-03 13:40:00+03:00,1665.0,14.56,24279.72,1633.5,1707.5,27.0,-29.13,22.34,-58.75,eod
NVMI.TA,long,2026-04-03 13:40:00+03:00,139900.0,2026-04-03 13:45:00+03:00,139900.0,0.17,24279.72,138420.0,143140.0,2160.0,0.0,22.34,-29.62,eod
LUMI.TA,long,2026-04-06 11:05:00+03:00,7045.0,2026-04-06 11:30:00+03:00,7126.0,3.44,24257.62,6997.0,7126.0,54.0,278.9,22.32,249.31,target
POLI.TA,long,2026-04-06 11:10:00+03:00,7520.0,2026-04-06 11:45:00+03:00,7586.0,3.23,24257.62,7458.0,7586.0,44.0,212.9,22.32,183.31,target
TEVA.TA,long,2026-04-06 10:40:00+03:00,9413.0,2026-04-06 12:25:00+03:00,9360.5,2.58,24257.62,9360.5,9456.5,29.0,-135.29,22.32,-164.89,stop
LUMI.TA,long,2026-04-06 11:30:00+03:00,7120.0,2026-04-06 14:00:00+03:00,7201.0,3.42,24319.95,6997.0,7201.0,54.0,276.67,22.37,247.0,target
POLI.TA,long,2026-04-06 11:45:00+03:00,7596.0,2026-04-06 14:00:00+03:00,7632.0,3.21,24365.78,7458.0,7662.0,44.0,115.48,22.42,85.75,eod
NVMI.TA,long,2026-04-06 12:25:00+03:00,140070.0,2026-04-06 14:00:00+03:00,140010.0,0.17,24324.55,139220.0,141240.0,780.0,-10.42,22.38,-40.1,eod
LUMI.TA,long,2026-04-06 14:00:00+03:00,7202.0,2026-04-06 14:00:00+03:00,7202.0,3.39,24386.3,6997.0,7283.0,54.0,0.0,22.44,-29.75,eod
CAMT.TA,long,2026-04-09 11:40:00+03:00,52790.0,2026-04-09 12:25:00+03:00,53360.0,0.46,24390.28,52310.0,53360.0,380.0,263.35,22.44,233.6,target
CAMT.TA,long,2026-04-09 12:25:00+03:00,53000.0,2026-04-09 14:00:00+03:00,53250.0,0.46,24448.68,52310.0,53570.0,380.0,115.32,22.49,85.5,eod
MZTF.TA,long,2026-04-10 10:40:00+03:00,23750.0,2026-04-10 11:20:00+03:00,24005.0,1.03,24470.05,23445.0,24005.0,170.0,262.73,22.51,232.88,target
POLI.TA,long,2026-04-10 10:40:00+03:00,7870.0,2026-04-10 12:40:00+03:00,7994.5,3.11,24470.05,7799.5,7994.5,83.0,387.11,22.51,357.25,target
MZTF.TA,long,2026-04-10 11:20:00+03:00,23970.0,2026-04-10 12:40:00+03:00,24225.0,1.02,24528.27,23445.0,24225.0,170.0,260.94,22.57,231.01,target
LUMI.TA,long,2026-04-10 10:40:00+03:00,7359.0,2026-04-10 12:45:00+03:00,7504.5,3.33,24470.05,7299.5,7504.5,97.0,483.81,22.51,453.96,target
POLI.TA,long,2026-04-10 12:40:00+03:00,7985.0,2026-04-10 13:45:00+03:00,8020.0,3.08,24617.59,7799.5,8109.5,83.0,107.9,22.65,77.87,eod
DSCT.TA,long,2026-04-10 12:40:00+03:00,3456.0,2026-04-10 13:45:00+03:00,3485.0,7.14,24675.34,3342.0,3504.0,32.0,207.06,22.7,176.95,eod
LUMI.TA,long,2026-04-10 12:45:00+03:00,7495.0,2026-04-10 13:45:00+03:00,7515.0,3.31,24788.83,7299.5,7640.5,97.0,66.15,22.81,35.91,eod
NVMI.TA,long,2026-04-14 11:55:00+03:00,157500.0,2026-04-14 14:00:00+03:00,157010.0,0.16,24861.51,156145.0,160845.0,2230.0,-77.35,22.87,-107.68,eod
TEVA.TA,long,2026-04-14 12:05:00+03:00,9524.0,2026-04-14 14:00:00+03:00,9523.0,2.61,24861.51,9448.5,9669.5,97.0,-2.61,22.87,-32.94,eod
CAMT.TA,long,2026-04-14 13:10:00+03:00,55200.0,2026-04-14 14:00:00+03:00,55360.0,0.45,24861.51,53680.0,55890.0,460.0,72.06,22.87,41.73,eod
ICL.TA,long,2026-04-17 11:50:00+03:00,1606.0,2026-04-17 13:30:00+03:00,1589.0,15.47,24836.79,1589.0,1633.0,18.0,-262.91,22.85,-293.21,stop
NICE.TA,long,2026-04-17 12:35:00+03:00,31920.0,2026-04-17 13:30:00+03:00,31585.0,0.78,24836.79,31585.0,32685.0,510.0,-260.66,22.85,-290.96,stop
TEVA.TA,long,2026-04-17 11:05:00+03:00,9387.0,2026-04-17 13:45:00+03:00,9370.0,2.65,24836.79,9339.5,9442.5,37.0,-44.98,22.85,-75.28,eod
POLI.TA,long,2026-04-17 13:40:00+03:00,8002.0,2026-04-17 13:45:00+03:00,8002.0,3.09,24690.75,7953.5,8096.5,63.0,0.0,22.72,-30.12,eod
LUMI.TA,long,2026-04-17 13:40:00+03:00,7600.0,2026-04-17 13:45:00+03:00,7600.0,3.25,24690.75,7495.5,7682.5,55.0,0.0,22.72,-30.12,eod
NICE.TA,long,2026-04-23 10:35:00+03:00,31720.0,2026-04-23 11:50:00+03:00,31255.0,0.78,24656.87,31255.0,32305.0,390.0,-361.46,22.68,-391.54,stop
LUMI.TA,long,2026-04-23 10:45:00+03:00,7687.0,2026-04-23 14:00:00+03:00,7664.0,3.21,24656.87,7624.5,7781.5,63.0,-73.77,22.68,-103.86,eod
TEVA.TA,long,2026-04-29 11:15:00+03:00,9509.0,2026-04-29 13:40:00+03:00,9611.0,2.58,24533.02,9440.0,9611.0,68.0,263.16,22.57,233.23,target
TEVA.TA,long,2026-04-29 13:40:00+03:00,9599.0,2026-04-29 13:45:00+03:00,9701.0,2.56,24591.32,9440.0,9701.0,68.0,261.31,22.62,231.31,target
TEVA.TA,long,2026-04-29 13:45:00+03:00,9700.0,2026-04-29 14:00:00+03:00,9601.0,2.54,24649.15,9440.0,9802.0,68.0,-251.57,22.68,-281.65,eod
CAMT.TA,long,2026-04-30 11:10:00+03:00,56320.0,2026-04-30 14:00:00+03:00,56290.0,0.44,24578.74,56000.0,57070.0,500.0,-13.09,22.61,-43.08,eod
DSCT.TA,long,2026-05-01 10:45:00+03:00,3305.0,2026-05-01 11:00:00+03:00,3279.5,7.43,24567.97,3279.5,3339.5,23.0,-189.56,22.6,-219.53,stop
LUMI.TA,long,2026-05-01 10:40:00+03:00,7536.0,2026-05-01 11:25:00+03:00,7475.0,3.26,24567.97,7475.0,7638.0,68.0,-198.86,22.6,-228.84,stop
